message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.884910839";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.882591375";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.871734281";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.869222428";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.866978620";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.855999704";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.853441466";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.850726814";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.839503487";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.836808837";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.834464062";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.824043663";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.821157621";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.818666390";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.807539458";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.805589445";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.801832808";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.792070569";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.788837917";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.786172431";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.775628375";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.773272683";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.770476065";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.760171256";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.756727891";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.753840210";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.743730516";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.741142440";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.738142775";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.728274836";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.724707478";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.722169374";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.711793680";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.709129021";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.706564777";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.696289870";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.692544491";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.690744544";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.679849777";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.676949050";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.674665882";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.663364770";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.661026605";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.657922593";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.647846423";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.645417401";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.642103110";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.632317904";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.628868552";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.626160602";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.615638723";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.613198518";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.609995121";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.600033370";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.596623891";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.594334221";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.583610337";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.581130008";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.577761206";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.568005616";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.565280279";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.562093699";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.551516507";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.548751502";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.546267577";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.536060621";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.533016375";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.530344023";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.519651034";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.517522418";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.513783012";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.504155978";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.500990579";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.498160795";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.487726347";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.485345646";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.482564154";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.472263095";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.468784264";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.465829576";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.455795870";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.453242878";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.450060425";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.440151082";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.436781802";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.434368227";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.423603884";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.421153413";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.418580258";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.407994175";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.405380887";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
